id,name,section,days_before_action,action,time,notify_who,notify_when
37,1/2 lb black beans,Rice/beans/pasta/soup,10,Make,4:00pm,Angel,"2 hours before as email, 1 hour before, and at time of event"
37,"great value whole kernel corn, 12 oz",Rice/beans/pasta/soup,0,,,,
37,great value original taco seasoning 1 oz,Rice/beans/pasta/soup,0,,,,
37,8 oz cheddar jack cheese,Refrigerated stuff,0,,,,
37,1 cilantro,Fruits/Vegetables,0,,,,
37,Tortilla chips,Chips/snacks,0,,,,
38,1/2 black beans 1lb bag,Rice/beans/pasta/soup,10,Make,4:00pm,Angel,"2 hours before as email, 1 hour before, and at time of event"
38,2 queso ranchero,Refrigerated stuff,0,,,,
38,4 tomatoes,Fruits/Vegetables,0,,,,
38,4 Avocado,Fruits/Vegetables,0,,,,
39,Hashbrowns,Frozen stuff,0,,,,
39,21 eggs,Dairy and eggs,1,Get from garage,7:05pm,Arturo and Angel,"2 hours before as email, 1 hour before, and at time of event"
40,21 eggs,Dairy and eggs,1,Get from garage,7:05pm,Arturo and Angel,"2 hours before as email, 1 hour before, and at time of event"
40,1 lb beans,Rice/beans/pasta/soup,10,Make,4:00pm,Angel,"2 hours before as email, 1 hour before, and at time of event"
41,Large Marketside pizzas (2),Fruits/Vegetables,0,,,,
42,~3lb of chicken breast,Carne,2,Take down,8:00am,Angel,time of event
42,Maybe make with rice or vegetables,Fruits/Vegetables,0,,,,
42,4 Avocado,Fruits/Vegetables,0,,,,
